,name,acisID,icao,longitude,latitude,elev_ft,valid_avgT_start,valid_avgT_end,valid_snowdepth_start,valid_snowdepth_end
368,MCGRATH AP,20865,PAMC,-155.61009,62.9574,331.0,1941-06-01,2025-04-17,1939-04-01,2024-11-19
369,MCKINLEY PARK,29604,,-148.96919,63.7175,2070.0,1923-01-01,2025-04-14,1923-01-01,2025-04-14
374,MEKORYUK,29833,PAMY,-166.2,60.38333,45.0,1923-09-06,2025-04-17,1923-09-24,1987-07-31
380,MIDDLETON ISLAND,29836,PAMD,-146.33333,59.43333,100.0,1942-12-01,2025-04-17,1942-12-01,1963-06-01
385,MINCHUMINA,29824,PAMH,-152.2816,63.9033,1025.0,1945-01-01,2025-04-15,1945-01-01,2025-02-18
390,MONASHKA CREEK DAM,31947,,-152.4585,57.8426,130.0,1909-11-10,2025-03-31,1909-09-01,2014-08-31
396,MOOSE PASS 3NW,20647,,-149.4261,60.5029,492.0,1941-07-29,2025-04-01,1941-08-01,2025-03-17
410,NENANA MUN AP,20930,,-149.09612,64.54611,358.0,1916-12-01,2025-04-16,1916-12-01,2001-04-30
411,NENANA MUNICIPAL AIRPORT,30895,PANN,-149.08713,64.54725,361.0,1948-10-01,2025-04-17,1948-10-01,1969-07-31
415,NOME AIRPORT,20927,PAOM,-165.44002,64.51112,18.0,1900-08-13,2025-04-17,1906-10-01,2020-05-26
416,NORTH POLE,20944,,-147.3253,64.7581,475.0,1968-10-02,2025-04-17,1968-10-01,2025-04-17
418,NORTHWAY AIRPORT,20860,PAOR,-141.93834,62.96148,1716.0,1942-09-08,2025-04-17,1942-10-01,2021-08-31
428,PALMER JOB CORPS,20760,,-149.0992,61.5888,216.0,1948-11-20,2025-02-28,1948-11-20,2024-10-18
436,PELICAN,20543,,-136.2213,57.9577,12.0,1967-02-01,2025-04-18,1967-02-01,2025-04-18
437,PETERSBURG 1,29843,PAPG,-132.93719,56.8055,107.0,1926-07-19,2025-04-17,1924-06-01,2025-04-17
439,PLATINUM,20580,PAPM,-161.78333,59.01667,20.0,1939-10-08,2025-04-15,1939-10-08,1964-06-30
442,POINT HOPE AIRPORT,21057,PAPO,-166.8,68.35,13.0,1924-02-01,2025-04-17,1924-03-02,1982-02-28
443,POINT LAY,21085,PPIZ,-163.00533,69.73288,25.0,1941-09-01,2025-04-01,1941-09-01,1955-08-15
450,PORT ALSWORTH,20636,PALJ,-154.3163,60.2036,260.0,1960-07-01,2025-02-28,1960-07-01,2025-02-28
459,PORTAGE GLACIER VISITOR CENTER,20671,PATO,-148.84839,60.78351,107.0,1972-11-01,2025-04-17,1986-06-01,1993-06-30
465,PUNTILLA,20822,PAPT,-152.73489,62.0911,1858.0,1942-01-01,2025-04-10,1942-01-01,2025-02-27
485,SAINT PAUL ISLAND AIRPORT,20519,PASN,-170.22272,57.15505,26.0,1892-09-01,2025-04-17,1918-07-01,2020-04-30
492,SAND POINT AP,20472,PASD,-160.52083,55.31944,21.0,1941-09-26,2025-04-16,1941-10-01,1994-06-30
500,SEWARD,20631,PAWD,-149.44389,60.10389,110.0,1908-02-01,2025-04-15,1908-02-01,2008-09-30
511,SHISHMAREF AIRPORT,21015,PASH,-166.08936,66.24958,7.0,1919-10-01,2025-04-17,1919-10-14,1973-10-31
517,SITKA AIRPORT,20513,PASI,-135.36703,57.04746,20.0,1944-09-01,2025-04-17,1944-09-01,1998-05-31
518,SKAGWAY,29638,,-135.3136,59.4547,35.0,1898-11-01,2025-04-17,1898-11-01,2025-04-17
521,SKAGWAY AIRPORT,29639,,-135.32768,59.45383,24.0,1965-07-01,2025-04-16,1965-07-01,2001-06-30
526,SNETTISHAM POWER PLANT,20545,,-133.73849,58.1421,29.0,1964-09-17,2025-04-18,1964-09-08,2025-04-18
553,TALKEETNA AIRPORT,20835,PATK,-150.09744,62.31978,350.0,1918-06-18,2025-04-17,1918-08-01,1998-03-30
556,TANANA AIRPORT,20975,PATA,-152.10677,65.173,225.0,1902-10-01,2025-04-17,1902-10-14,2025-04-16
586,UNIVERSITY EXPERIMENTAL STATION,20955,,-147.86099,64.8569,475.0,1904-09-04,2025-03-31,1904-09-01,2025-03-31
604,WHITE MOUNTAIN,20942,PAWM,-163.39999,64.68333,20.0,1922-01-05,2025-04-17,1922-01-14,1990-05-31
612,WISEMAN,21043,,-150.10957,67.40822,1181.0,1919-11-01,2025-04-18,1918-11-01,2025-04-17
615,WRANGELL AP,29707,PAWG,-132.38741,56.4732,56.0,1917-11-02,2025-04-17,1917-12-05,2013-02-19
617,YAKUTAT AIRPORT,20602,PAYA,-139.67104,59.51211,41.0,1917-04-01,2025-04-17,1917-04-01,2024-07-06
