id,siteID,year,icemoved,timemoved,breakup,Impact Based Flood Severity,firstboat,unsafeman,unsafeveh,typeveh,lastice,remarks,Initial Forecast Start Date,Initial Forecast End Date,qualityFlag,internalNotes
7143,Skwentna River at Skwentna,2022,,,2022-04-27,unknown,,,,,,,2022-05-09,2022-05-09,,Observer reports ice mushed out
7144,Yentna River at Lake Creek,2022,,,2022-05-05,unknown,,,,,,,2022-05-09,2022-05-09,,Skwentna observer estimates ice went at Lake Creek 5/5-5/6
7145,Kuskokwim River at McGrath,2022,,,2022-05-09,unknown,,,,,,,2022-05-11,2022-05-11,,Observer reported ice sheet to the north of the runway in McGrath broke free just after 4 pm
7146,Yukon River at Ruby,2022,2022-05-09,12:00PM ,2022-05-11,unknown,,,,,,,2022-05-09,2022-05-15,,Observer reported ice started moving about noon\, stopped moving around 2PM\, then moving again at 9PM\, with jamming down river near Ruby Slough and up river at 3 Mile Camp
7147,Kuskokwim River at Akiak,2022,2022-05-04,,2022-05-05,none,,,,,,,2022-05-07,2022-05-11,,
7148,Kuskokwim River at Sleetmute,2022,,,2022-05-08,major,,,,,,,2022-05-01,2022-05-07,,
7149,Kuskokwim River at Red Devil,2022,,,2022-05-08,major,,,,,,,2022-05-03,2022-05-09,,
7150,Kuskokwim River at Crooked Creek,2022,,,2022-05-08,none,,,,,,,2022-05-12,2022-05-12,,
7151,Kuskokwim River at Kalskag,2022,,,2022-05-08,none,,,,,,,2022-05-05,2022-05-09,,
7152,Kuskokwim River at Tuluksak,2022,,,2022-05-04,none,,,,,,,2022-05-07,2022-05-11,,
7153,Kuskokwim River at Kwethluk,2022,,,2022-05-04,unknown,,,,,,,2022-05-03,2022-05-07,,
7154,Kuskokwim River at Napakiak,2022,,,2022-05-05,unknown,,,,,,,2022-05-10,2022-05-14,,
7155,Yukon River at Fort Yukon,2022,,,2022-05-10,unknown,,,,,,,2022-05-11,2022-05-17,,
7156,Yukon River at Galena,2022,,,2022-05-11,minor,,,,,,,2022-05-11,2022-05-17,,
7157,Yukon River at Nulato,2022,,,2022-05-12,none,,,,,,,2022-05-11,2022-05-17,,
7158,Yukon River at Kaltag,2022,,,2022-05-12,none,,,,,,,2022-05-11,2022-05-17,,
7159,Yukon River at Pilot Station,2022,,,2022-05-09,none,,,,,,,2022-05-15,2022-05-21,,
7160,Yukon River nr Emmonak,2022,,,2022-05-15,none,,,,,,,2022-05-19,2022-05-23,,On the main stem Yukon
7161,Yukon River at Alakanuk,2022,,,2022-05-15,none,,,,,,,2022-05-19,2022-05-23,,on the main stem yukon
7162,Gulkana River nr Gakona,2022,,,2022-05-07,none,,,,,,estimated based on Sentinel imagery,2022-05-17,,,
7163,Gakona River at Gulkana,2022,,,2022-05-02,none,,,,,,estimated based on Sentinel imagery & Gakona Brewing Company obs,2022-05-17,,,Sentinel data doesn't support a 2022-05-02 breakup but GBC dude swears breakup occurred btwn 2022-04-29 and 05-02; waiting for a return call from Gakona Lodge with their guess
7164,Kobuk River at Kobuk,2022,,,2022-05-17,none,,,,,,,2022-05-18,2022-05-18,,Observer by phone. Stated low water level for this time of year
7165,Yukon River at Grayling,2022,2022-05-18,14:00,2022-05-18,unknown,,,,,,broke up at 10pm Per FAA webcam,,,,
7166,Yukon River at Anvik,2022,2022-05-18,18:30,2022-05-18,unknown,,,,,,broke up at 11:30pm Per FAA webcam,2022-05-14,2022-05-20,,
7167,Kobuk River at Ambler,2022,,,2022-05-20,none,,,,,,broke up at 4:40pm Per FAA webcam,2022-05-15,2022-05-21,,
7168,Yukon River at Holy Cross,2022,,,2022-05-18,unknown,,,,,,,2022-05-14,2022-05-20,,
7169,Yukon River at Russian Mission,2022,,,2022-05-18,unknown,,,,,,,2022-05-15,2022-05-21,,
7170,Yukon River at Marshall,2022,,,2022-05-15,none,,,,,,Resident estimated date,2022-05-15,2022-05-21,,
7171,Yukon River at Mountain Village,2022,,,2022-05-10,unknown,,,,,,Resident estimated date,2022-05-15,2022-05-21,,
7172,Buckland River at Buckland,2022,2022-05-20,,2022-05-21,moderate,,,,,,,2022-05-15,2022-05-21,,
7173,Kobuk River at Shungnak,2022,,,2022-05-20,unknown,,,,,,,2022-05-15,2022-05-21,,
7174,Noatak River at Noatak,2022,,,2022-05-20,none,,,,,,,2022-05-26,2022-05-26,,airport obs in contact list reports ice went 5/20 river in banks during breakup process no issues
7175,Koyukuk River at Bettles,2022,2022-05-05,21:00,2022-05-05,none,2022-05-23,2022-04-30,2022-04-15,pickup truck,2022-05-25,more dynamic breakup than expected; time moved AKDT,2022-09-05,2022-09-05,,
7176,Yukon River at Stevens Village,2022,,,2022-05-10,none,,,,,,,2022-05-11,2022-05-17,,
7177,Yukon River at Beaver,2022,,,2022-05-10,none,,,,,,,2022-05-11,2022-05-17,,
7178,Koyukuk River at Koyukuk,2022,,,2022-05-11,none,,,,,,,2022-05-11,2022-05-17,,
7182,Koyukuk River at Huslia,2022,,,2022-05-08,unknown,,,,,,,,,,
7183,Innoko River at Shageluk,2022,,,2022-05-05,unknown,,,,,,,,,,From FEOI Cam.  Large floods later in May from ice jam on the Yukon near Grayling
7038,Anchor River at Anchor Point,2021,,,2021-04-19,unknown,,,,,,Moderate-to-Major flood levels. Flood impacts unknown.,2021-04-20,2021-04-20,,per Anchor FD via CVB
7039,Kuskokwim River at Nikolai,2021,,,2021-04-23,none,,,,,,,2021-04-25,2021-05-01,,Based on Kuskowkwim River facebook posting
7040,Fortymile River at Taylor Hwy Bridge,2021,,,2021-04-26,none,,,,,,,,,,Relayed by Ann Milard from Folks that live near the bridge. 
7041,Fortymile River at ,2021,2021-04-27,,2021-04-28,none,,,,,,at Yukon R Confluence ,2021-04-28,2021-04-28,,from Earl Rolf <earlrolf@yahoo.com>
7042,Chisana River at Northway,2021,,,2021-04-26,unknown,,,,,,,2021-04-28,2021-04-28,,
7043,Gulkana River nr Gakona,2021,,,2021-04-28,none,,,,,,based on GULA2 hydrograph and Sentinel-2 (2021-04-28),2021-04-29,2021-04-29,,
7044,Tuluksak River at Tuluksak,2021,,,2021-04-29,unknown,,,,,,mainstem Kuskokwim still solid,2021-04-30,2021-04-30,,from CVB
7045,Kuskokwim River at Sleetmute,2021,,,2021-04-29,none,,,,,,,2021-04-30,2021-04-30,,confirmed by Susan Hubbard
7046,Chena River at Fairbanks,2021,,,2021-04-27,none,,,,,,,2021-04-30,2021-04-30,,
7047,Tanana River at Nenana,2021,2021-04-30,,2021-04-30,unknown,,,,,,Tripod at Nenana has moved enough to stop the Ice Classic Clock. River ice still intact and tripod still standing.https://drive.google.com/file/d/1fFIJIo3c2IQoCDCs-aeU3y2qH52gz8QS/view?usp=sharing,2021-04-30,2021-04-30,,https://www.nenanaakiceclassic.com/index.htm \r\n
7048,Gulkana River at Sourdough,2021,,,2021-04-30,unknown,,,,,,based on USGS stage; jam continues into 2021-05-01,2021-05-01,2021-05-01,,TENTATIVE- will revise once satellite SA available
7049,Gakona River at Gakona,2021,,,2021-04-26,unknown,,,,,,based on Sentinel-2 review for 2021-04-26 and 2021-04-27 passes,2021-05-02,2021-05-02,,
7050,Kuskokwim River at Stony River,2021,,,2021-04-30,none,,,,,,,2021-05-03,2021-05-03,,based on Sleetmute and satellite data
7051,Kuskokwim River at Red Devil,2021,,,2021-04-30,none,,,,,,,2021-05-03,2021-05-03,,based on FB and Kusko community call
7052,Kuskokwim River at Crooked Creek,2021,,,2021-05-03,none,,,,,,,2021-05-04,2021-05-04,,from RiverWatch
7053,Kuskokwim River at Napaimute,2021,,,2021-05-03,none,,,,,,,2021-05-04,2021-05-04,,from RiverWatch
7054,Kuskokwim River at Aniak,2021,,,2021-05-03,minor,,,,,,,2021-05-04,2021-05-04,,
7055,Susitna River at Sunshine,2021,,,2021-04-29,none,,,,,,,2021-05-04,2021-05-04,,from Sentinel-2\, BCJ\, ET obs
7056,Kuskokwim River at McGrath,2021,,,2021-05-04,none,,,,,,appears to have broke late evening,2021-05-05,2021-05-05,,based on hydrograph and Borealis cam https://www.borealisbroadband.net/cams/mcgrathsnowcentercam/ https://water.weather.gov/ahps2/hydrograph.php?wfo=pafg2&gage=mcga2
7057,Kuskokwim River at Akiak,2021,,,2021-05-05,unknown,,,,,,,2021-05-05,2021-05-05,,from FB https://www.facebook.com/groups/433512193777148
7058,Yukon River at Dawson,2021,2021-05-06,,2021-05-06,unknown,,,,,,,2021-05-06,2021-05-06,,
7059,Tanana River nr Manley Hot Springs,2021,,,2021-05-05,none,,,,,,,2021-05-06,2021-05-06,,
7060,Tanana River at Fairbanks D-S of Chena R,2021,,,2021-05-05,unknown,,,,,,,2021-05-06,2021-05-06,,
7061,Kuskokwim River at Kalskag,2021,,,2021-05-06,none,,,,,,,2021-05-07,2021-05-07,,
7062,Kuskokwim River at Bethel,2021,2021-05-06,,2021-05-06,none,,,,,,,2021-05-09,2021-05-15,,tripod moved then drifted down river in the evening. Clock stopped at 22:05 AKDT\r\n\r\nUpdate to impacts:none - BCJ 12May21
7063,Kuskokwim River at Tuluksak,2021,,,2021-05-06,none,,,,,,,2021-05-07,2021-05-07,,
7064,Kuskokwim River at Kwethluk,2021,,,2021-05-07,unknown,,,,,,,2021-05-08,2021-05-08,,estimated from sat image
7065,Kuskokwim River at Napakiak,2021,,,2021-05-08,unknown,,,,,,,2021-05-08,2021-05-08,,
7066,Yukon River at Galena,2021,2021-05-08,4PM,2021-05-09,none,,,,,,,2021-05-09,2021-05-09,,tripod moved at night 2021-05-08
7067,Yukon River at Eagle,2021,,,2021-05-08,none,,,,,,,2021-05-09,2021-05-09,,Overbank at Calico Bluffs\, but within the banks at Eagle.  No Impacts.
7068,Yukon River at Ruby,2021,2021-05-08,,2021-05-08,none,2021-05-19,2021-05-01,2021-05-01,snogo,2021-05-21,,2021-05-09,2021-05-09,,from Linda Captain
7069,Yukon River at Tanana,2021,2021-05-07,,2021-05-07,none,,,,,,,2021-05-09,2021-05-09,,Ice went out river levels stayed low
7070,Koyukuk River at Bettles,2021,2021-05-09,,2021-05-09,none,2021-05-15,2021-04-30,2021-04-25,,,,2021-05-11,2021-05-11,,Ice jam formed just below gage then released. River levels didn't exceed bankfull. "Very average everything" from Rich Thorne
7071,Yukon River at Circle,2021,2021-05-09,,2021-05-10,unknown,,,,,,,2021-05-11,2021-05-11,,dynamic breakup - ice jams upriver floodwatch issued
7072,Yukon River at Koyukuk,2021,,,2021-05-11,none,,,,,,,2021-05-12,2021-05-12,,likely went out 5/11 or possibly 5/10. RiverWatch flight confirmed open 5/11
7073,Yukon River at Nulato,2021,2021-05-11,,2021-05-11,none,,,,,,,2021-05-12,2021-05-12,,RiverWatch confirmed open 5/11
7074,Yukon River at Beaver,2021,,,2021-05-12,unknown,,,,,,,2021-05-11,2021-05-17,,Ice running past Beaver reported by Dave Lorring. 
7075,Copper River at Copper Center,2021,2021-04-26,,2021-04-26,none,,,,,,,2021-05-12,2021-05-12,,
7076,Buckland River at Buckland,2021,,,2021-05-12,moderate,,,,,,Ice jam 1/4 mi downstream caused moderate flooding the night of the 12th leading to 5 ft of water in the village,2021-05-13,2021-05-13,,
7077,Yukon River at Fort Yukon,2021,,,2021-05-11,none,,,,,,,2021-05-13,2021-05-13,,
7078,Koyukuk River at Allakaket,2021,,,2021-05-11,none,,,,,,,2021-05-11,2021-05-17,,
7079,Koyukuk River at Hughes,2021,,,2021-05-09,none,,,,,,,2021-05-10,2021-05-16,,
7080,Yukon River at Pilot Station,2021,2021-05-13,,2021-05-13,none,,,,,,,2021-05-15,2021-05-15,,
7081,Yukon River nr Emmonak,2021,2021-05-13,,2021-05-13,none,,,,,,,2021-05-15,2021-05-15,,
7082,Yukon River at Grayling,2021,2021-05-12,,2021-05-12,none,,,,,,Ice moved around 8pm per FAA cams,2021-05-15,2021-05-15,,
7083,Yukon River at Stevens Village,2021,,,2021-05-12,none,,,,,,,2021-05-16,2021-05-16,,
7084,Yukon River at Alakanuk,2021,,,2021-05-16,none,,,,,,,,,,
7085,Noatak River at Noatak,2021,,,2021-05-14,none,,,,,,,,,questionable,Based on Fresh Eyes on ice camera. 
7086,Yukon River at Holy Cross,2021,,,2021-05-12,none,,,,,,,,,,Based on the City of Holy Cross.  They asked around and everyone said the 12th.
7087,Yukon River at Rampart,2021,2021-05-13,,2021-05-15,none,,,,,,,2019-05-12,2019-05-12,,Reported by the tribal office. 
7088,Yukon River at Marshall,2021,,,2021-05-13,none,,,,,,,2020-05-12,2020-05-12,questionable,Estimate based on contact with the tribal office.
7089,Kobuk River at Ambler,2021,2021-05-13,1500,2021-05-13,none,,,,,,Ice moved around 3pm per FAA cams,2021-05-17,2021-05-17,,
7090,Kobuk River at Kiana,2021,2021-05-14,2000,2021-05-14,none,,,,,,Ice moved around 8pm per FAA cams,2021-05-17,2021-05-17,,
7091,Kobuk River at Kobuk,2021,,,2021-05-11,none,,,,,,,2021-05-18,2021-05-18,,
7092,Kobuk River at Shungnak,2021,,,2021-05-12,none,,,,,,,2021-05-18,2021-05-18,,
7093,Yukon River at Kaltag,2021,,,2021-05-11,none,,,,,,,2021-05-18,2021-05-18,,
7094,Yukon River at Mountain Village,2021,,,2021-05-12,none,,,,,,,,,questionable,Tribal office responded with either the 12th or 13th. 
7095,Skwentna River at Skwentna,2021,2021-05-01,,2021-05-02,none,,,2021-04-20,,,,,,,From Steve
7096,Sagavanirktok River at Prudhoe,2021,,,2021-05-24,unknown,,,,,,,2021-05-24,2021-05-24,,
7097,Meade River at Atkasuk,2021,,,2021-05-30,unknown,,,,,,no forecast ,2021-06-02,2021-06-02,,from hydrograph
7098,Colville River at Umiat,2021,,,2021-05-28,unknown,,,,,,,2021-05-30,2021-06-02,,from hydrograph
7099,Selawik River at Selawik,2021,,,2021-05-22,none,,,,,,,,,,From Bill Carter:\r\nSelawik River\r\nLocation  66.598704°\, -160.011745°\r\n\r\nBreak up date 22 May about 12:00
7108,Moose Creek at Oilwell Road,2021,2021-04-17,,2021-04-19,unknown,2021-04-19,,,,2021-04-26,,2022-03-24,2022-03-24,,
7181,Koyukuk River at Huslia,2021,,,2021-05-09,unknown,,,,,,,,,,
6971,Kuskokwim River at Nikolai,2020,,,2020-04-21,none,,,,,,,2020-04-18,2020-04-24,,
6972,Fortymile River at Taylor Hwy Bridge,2020,,,2020-04-21,minor,,,,,,,,,,From obsesrver: This was Break up\, April 21\, 400 PM ish   about 40 degrees... the real rain did not begin until around 6:30PM... it did rain super super hard all day\, only in in intervals. But the rain that i thot was hard was in the evening after breakup. the floe was still very full when i went to bed at 700 ish\r\n
6973,Chisana River at Northway,2020,,,2020-04-23,unknown,,,,,,Observer reports ice still holding upstream,2020-04-24,2020-04-24,,from Lyle; entered jso
6975,Nabesna River nr Northway,2020,,,2020-04-18,unknown,,,,,,Breakup date and time unknown.,2020-04-24,2020-04-24,,from Lyle; entered jso; per jc: Unprecedented for Nabesna to go before Chisana
6976,Chena River at Fairbanks,2020,,,2020-04-21,moderate,,,,,,Breakup starts with ice jams in town through 2020-04-23,2020-04-24,2020-04-24,,
6977,Tanana River at Nenana,2020,2020-04-26,,2020-04-27,unknown,,,2020-04-16,snowmachine,,Location given as Tanana River Bridge\, AK; tripod clock stopped at 13:56 AKDT,2020-04-24,2020-04-30,,Timothy Lorenzini\, timothy_lorenzini@fws.gov
6978,Chatanika River at Elliott Hwy Bridge,2020,,,2020-04-20,unknown,,,,,,,2020-04-24,2020-04-24,,
6979,Copper River at Copper Center,2020,,,2020-04-22,none,,,,,,,,,,Barbara Cellarius w/NPS
6981,Gakona River at Gakona,2020,,,2020-04-26,none,,,,,,breakup time between 15:00-16:00 AKDT,,,,Apparently some folks thought it broke before that but didn't realize another ice dam accumulated at the Tok cutoff bridge/ river mouth on Sunday.  
6982,Gulkana River nr Gakona,2020,,,2020-04-24,none,,,,,,breakup during evening sometime,2020-04-28,2020-04-28,,observer Greg said he heard the Gulkana broke sometime Friday evening\, April 24.
6983,Nushagak River at New Stuyahok,2020,,,2020-04-22,none,,,,,,breakup time 22:30 AKDT,2020-04-22,2020-04-22,,
6984,Anchor River at Anchor Point,2020,,,2020-04-20,minor,,,,,,breakup time determined from hydrograph post-moderate flood stage,2020-04-28,2020-04-28,,
6985,Matanuska River at Palmer,2020,,,2020-04-12,unknown,,,,,,breakup time unknown; breakup date based on USGS first day without ice effects,2020-04-28,2020-04-28,,
6986,Kuskokwim River at Sleetmute,2020,2020-04-27,,2020-04-28,moderate,,,,,,,2020-04-30,2020-04-30,,from Rivernote
6987,Kuskokwim River at Red Devil,2020,2020-04-27,,2020-04-28,moderate,,,,,,,2020-04-30,2020-04-30,,from Rivernote
6988,Kuskokwim River at Crooked Creek,2020,2020-04-26,,2020-04-29,minor,,,,,,,2020-05-01,2020-05-01,,
6989,Crooked Creek at Crooked Creek,2020,,,2020-04-19,unknown,,,,,,,2020-05-01,2020-05-01,,
6990,Kuskokwim River at McGrath,2020,,,2020-05-02,none,,,,,,15:30 AKDT,2020-05-03,2020-05-03,,
6991,Yukon River at Dawson,2020,,,2020-05-03,none,,,,,,,,,,
6992,Kuskokwim River at Kalskag,2020,,,2020-05-04,moderate,,,,,,,2020-05-05,2020-05-05,,
6993,Kuskokwim River at Akiak,2020,,,2020-05-04,unknown,,,,,,,2020-05-05,2020-05-05,,
6994,Kuskokwim River at Tuluksak,2020,,,2020-05-04,unknown,,,,,,,2020-05-05,2020-05-05,,
6995,Kuskokwim River at Aniak,2020,,,2020-05-01,unknown,,,,,,,2020-05-05,2020-05-05,,
6996,Kuskokwim River at Chuathbaluk,2020,,,2020-05-01,unknown,,,,,,,2020-05-05,2020-05-05,,
