# CHICKEN
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997
#
d_since_march1,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14,0.00,0.00,0.00,6.00,1.50,0.00,0.00,23.50,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,7.00,0.00,0.00,0.00,4.50
15,0.00,0.00,1.50,6.00,1.50,0.00,0.00,23.50,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,7.00,0.00,0.00,0.00,4.50
16,0.00,0.00,1.50,6.00,1.50,0.00,0.00,23.50,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,7.00,1.00,0.00,0.00,4.50
17,1.00,0.00,1.50,6.00,1.50,0.00,0.00,23.50,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,14.00,7.00,0.00,0.00,4.50
18,1.00,0.00,1.50,6.00,1.50,0.00,0.00,23.50,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,16.00,16.00,0.00,0.00,4.50
19,1.00,0.00,1.50,6.00,1.50,0.00,0.00,23.50,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,16.00,23.50,0.00,0.00,4.50
20,3.50,0.00,1.50,6.00,1.50,0.00,0.00,23.50,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,16.00,29.00,0.50,0.00,4.50
21,6.00,0.00,3.00,6.00,1.50,1.00,0.00,23.50,9.50,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,16.00,36.50,0.50,0.00,4.50
22,10.50,9.00,3.00,6.00,1.50,2.00,0.00,23.50,9.50,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.50,0.00,16.00,48.00,0.50,0.00,4.50
23,13.00,14.00,3.00,6.00,1.50,3.50,0.00,23.50,12.50,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,1.00,0.00,16.00,61.50,0.50,0.00,4.50
24,20.00,20.00,9.00,6.00,1.50,3.50,0.00,24.50,20.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,3.50,0.00,16.00,79.00,12.50,0.00,4.50
25,30.00,20.00,20.50,6.00,1.50,3.50,0.00,26.50,27.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,7.00,0.00,16.00,93.00,19.00,0.00,8.50
26,38.50,20.50,30.50,6.00,1.50,3.50,0.00,29.00,27.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,14.50,0.00,16.00,108.50,19.00,0.00,13.00
27,38.50,20.50,30.50,10.00,1.50,3.50,0.00,31.50,27.00,0.00,11.00,0.00,0.00,3.50,0.00,0.00,0.00,12.50,29.50,0.00,16.00,124.50,19.00,0.00,13.00
28,39.50,20.50,30.50,15.00,1.50,3.50,0.00,31.50,27.00,0.00,11.00,0.00,2.00,7.00,0.00,0.00,0.00,17.50,43.50,0.00,16.00,140.50,19.00,0.00,16.00
29,44.50,20.50,30.50,21.00,1.50,3.50,0.00,31.50,27.00,0.00,11.00,0.00,5.50,14.00,2.00,0.00,0.00,21.50,62.00,0.50,16.00,150.50,19.00,0.00,26.50
30,44.50,20.50,32.50,21.00,1.50,3.50,0.00,32.50,27.00,0.00,11.00,0.00,12.00,23.00,10.00,1.50,0.00,25.50,78.50,2.50,16.00,159.50,19.00,0.00,26.50
31,44.50,24.50,35.00,21.00,1.50,3.50,0.00,32.50,27.00,0.00,15.50,0.00,15.50,23.00,15.00,5.00,0.00,28.00,98.00,7.50,16.00,169.50,19.00,2.00,26.50
32,47.50,30.00,41.00,21.00,1.50,3.50,0.00,32.50,27.00,0.00,28.00,0.00,17.50,23.00,15.00,5.00,0.00,34.00,118.00,18.00,16.00,182.50,19.00,2.00,26.50
33,51.00,31.50,44.00,21.00,1.50,3.50,0.00,32.50,27.00,0.00,38.00,0.00,25.00,23.00,15.00,5.00,0.00,40.50,130.50,21.00,16.00,187.50,19.00,2.00,26.50
34,53.50,31.50,44.00,21.00,1.50,3.50,7.00,32.50,27.50,0.00,44.00,0.00,30.50,27.50,15.00,5.00,0.00,46.00,140.50,23.50,16.00,187.50,19.00,2.00,26.50
35,61.00,31.50,44.00,24.50,1.50,3.50,13.00,32.50,36.50,0.00,52.50,0.00,35.50,31.00,15.00,5.00,0.00,52.50,153.00,30.50,16.00,187.50,19.00,2.00,26.50
36,72.50,35.00,44.00,27.00,1.50,3.50,21.50,34.00,46.00,0.00,62.50,0.00,39.50,38.50,22.00,5.00,3.00,59.00,166.50,41.00,16.00,187.50,20.00,2.00,26.50
37,85.00,37.00,44.00,33.00,1.50,3.50,30.50,43.00,54.50,2.00,63.00,0.00,45.00,38.50,35.00,5.00,13.00,68.50,179.50,45.50,16.00,193.50,20.00,2.00,28.50
38,96.00,37.00,44.00,41.50,1.50,3.50,44.50,47.50,56.00,16.00,63.00,0.00,48.00,38.50,49.50,5.00,16.50,80.00,189.00,45.50,16.00,205.50,20.00,2.00,30.00
39,107.00,37.00,44.00,41.50,1.50,3.50,55.00,55.00,62.00,30.00,63.00,2.50,48.50,43.50,55.00,5.00,16.50,88.50,202.50,45.50,17.00,218.50,20.00,2.00,30.00
40,117.50,37.00,44.00,45.00,1.50,5.50,64.50,65.50,70.50,44.50,63.00,2.50,48.50,43.50,61.50,5.00,16.50,96.00,222.00,48.00,25.00,235.00,20.00,2.00,30.00
41,129.00,39.50,46.50,54.50,1.50,10.50,72.50,69.50,76.50,58.00,63.00,4.00,48.50,43.50,70.50,5.00,16.50,106.50,239.50,56.50,35.50,251.50,20.00,2.00,30.00
42,145.00,45.50,51.50,70.00,1.50,19.00,81.50,72.50,76.50,71.50,63.00,8.00,55.50,43.50,84.00,5.00,16.50,109.00,256.50,67.00,54.00,268.00,21.50,2.00,30.00
43,152.00,49.00,53.00,81.50,1.50,31.50,90.50,72.50,76.50,81.50,63.00,16.00,66.00,43.50,104.00,5.00,16.50,114.50,265.00,75.00,70.50,286.50,33.00,6.00,30.00
44,166.50,53.50,60.50,94.00,1.50,47.00,95.00,72.50,76.50,86.00,64.00,20.50,76.50,43.50,120.00,5.00,25.00,117.50,273.50,78.50,83.00,300.00,43.50,16.00,30.00
45,187.50,61.00,70.50,108.50,1.50,54.00,102.50,73.00,76.50,94.00,70.50,24.50,88.00,45.00,132.50,5.00,41.50,121.00,284.50,87.00,83.00,308.50,56.50,29.00,37.00
46,207.50,70.50,70.50,118.50,1.50,66.50,109.50,73.50,76.50,105.00,74.00,36.00,92.50,47.00,148.00,5.00,57.50,128.00,302.00,91.50,83.00,319.50,77.00,40.50,37.00
47,226.50,81.50,73.00,128.50,3.50,81.00,117.50,84.00,76.50,114.00,74.00,47.00,101.00,47.00,164.50,5.00,72.50,139.50,318.00,91.50,83.00,332.00,91.50,54.50,37.00
48,248.00,100.50,74.00,140.50,14.00,90.50,128.00,89.50,78.50,127.00,74.00,54.00,116.00,47.00,185.00,5.00,89.50,151.00,334.00,91.50,83.50,348.50,108.50,70.50,37.00
49,261.50,124.00,76.50,142.50,26.00,103.50,139.00,97.50,86.50,140.00,74.00,60.00,136.00,53.00,204.50,5.00,102.00,165.50,348.00,91.50,87.50,363.50,129.50,88.50,37.00
50,282.00,147.00,93.00,145.00,41.00,119.00,152.50,106.50,89.50,156.50,84.00,68.00,160.50,61.00,224.00,5.00,115.50,186.00,363.50,91.50,93.00,367.50,152.00,111.00,37.50
51,293.50,170.00,109.00,157.50,51.00,130.71,162.50,122.00,98.00,171.50,100.00,68.00,174.50,66.50,243.00,5.00,134.50,197.00,383.50,91.50,95.00,380.00,173.50,120.50,42.00
52,307.50,188.50,121.50,171.00,58.50,144.19,176.00,144.50,107.50,193.00,120.00,71.00,187.50,73.00,265.00,5.50,151.50,203.50,407.00,96.50,102.50,397.00,189.50,130.50,49.50
53,324.00,208.50,140.00,187.00,58.50,168.19,189.50,166.00,120.00,210.50,140.00,80.50,200.00,83.00,281.00,8.00,166.00,211.50,424.50,105.50,115.50,413.00,202.50,143.50,58.00
54,339.00,221.50,152.50,203.50,58.50,189.69,201.00,188.00,140.00,230.50,152.00,93.50,210.50,99.50,296.50,15.50,182.50,224.00,446.00,120.00,131.00,418.50,216.00,158.50,74.50
55,354.00,233.00,165.00,212.00,64.50,213.19,216.50,211.50,152.00,247.50,168.50,103.00,223.50,116.00,314.00,18.00,198.50,241.50,471.00,141.50,150.00,428.00,216.00,178.00,94.00
56,370.50,241.00,178.00,224.50,79.50,241.19,235.00,234.50,162.00,266.00,187.50,114.00,240.50,134.50,332.50,18.00,215.00,258.50,488.50,165.50,163.50,435.00,216.00,200.50,110.00
57,378.00,242.00,196.50,241.00,99.50,272.19,256.00,259.50,169.50,283.00,205.00,134.50,264.50,151.50,348.50,18.00,234.00,278.50,508.00,185.50,174.00,442.50,224.00,211.50,125.00
58,389.50,261.00,212.50,254.50,118.50,300.19,272.50,286.00,177.00,301.00,227.50,158.50,287.50,169.50,369.00,18.00,253.50,298.50,526.50,201.00,185.50,454.50,235.50,218.00,137.00
59,406.50,277.00,230.00,263.00,144.50,333.69,289.54,313.00,182.50,316.00,248.50,183.50,317.50,185.00,385.50,21.50,271.50,318.00,547.00,220.00,198.50,470.00,249.00,231.00,154.00
60,422.50,291.50,245.00,270.00,174.00,354.19,314.54,337.50,192.50,333.50,270.50,211.00,346.50,202.00,407.50,22.00,292.50,333.00,562.50,237.50,215.00,490.50,250.50,253.00,170.50
61,441.50,299.00,262.50,285.00,202.00,368.69,342.54,359.00,199.50,347.00,283.00,240.00,366.00,222.00,428.50,29.50,311.50,350.00,580.00,254.00,237.00,514.50,257.00,264.50,188.50
62,460.00,308.50,280.00,297.50,207.00,384.19,360.54,382.50,212.00,365.50,306.50,269.50,382.00,244.00,439.00,42.50,333.50,366.50,602.50,272.50,253.50,537.50,270.00,276.50,209.00
63,476.00,322.50,298.00,310.00,207.00,397.69,373.54,405.50,227.00,387.50,327.50,299.00,396.50,260.00,447.00,61.50,358.00,379.50,622.00,295.50,265.00,553.50,285.50,297.50,227.50
64,495.00,333.00,320.50,326.50,208.00,411.69,392.54,428.00,245.13,413.00,353.00,325.50,409.50,276.50,459.50,70.50,384.50,394.50,640.00,314.50,279.50,568.00,303.50,322.00,244.00
65,510.50,340.00,338.00,341.50,208.00,426.19,413.04,447.50,263.63,432.00,377.00,346.50,429.00,292.50,476.50,73.50,413.00,413.00,660.00,333.00,300.00,581.00,323.00,340.00,262.50
66,532.50,356.50,355.00,351.00,219.50,446.19,437.54,474.00,283.13,452.50,397.50,368.00,451.00,306.50,490.50,82.50,438.00,432.00,683.50,351.50,316.50,597.00,345.50,362.00,283.00
67,555.50,375.00,377.00,369.50,240.50,467.69,458.04,498.00,301.13,468.50,416.50,383.50,469.00,322.00,508.50,91.50,466.50,452.00,708.00,375.00,333.00,617.50,367.50,387.50,298.00
68,569.50,395.00,399.00,387.00,261.50,489.19,473.04,528.00,321.63,486.00,431.00,399.00,490.50,337.50,528.50,101.50,493.00,476.50,730.50,401.00,350.00,647.50,393.50,409.00,313.50
69,589.50,417.00,411.50,401.00,286.00,514.69,493.83,564.50,339.63,506.00,449.00,420.50,508.00,353.00,537.00,119.50,516.50,507.50,754.00,426.50,373.00,673.50,421.00,434.00,333.50
70,611.00,435.50,429.50,417.00,308.00,540.19,507.83,595.50,355.63,526.00,471.50,442.00,525.50,369.00,551.00,146.50,536.00,531.00,780.00,448.00,401.00,701.50,452.50,459.00,345.50
71,632.00,457.50,445.50,435.00,330.00,566.19,533.83,624.50,380.13,544.00,495.00,460.00,543.50,383.50,571.50,169.00,555.50,556.00,805.00,468.00,432.50,724.50,482.00,487.50,360.00
72,643.50,486.00,460.50,448.50,352.14,588.33,564.83,660.00,399.13,562.00,522.50,475.50,569.50,392.50,590.50,189.00,578.00,580.50,834.00,493.50,458.00,743.50,512.00,510.00,376.00
73,658.50,512.00,472.50,466.50,372.64,607.83,584.83,693.00,420.13,580.50,547.50,494.00,595.50,404.00,611.50,211.00,605.00,604.50,869.00,518.00,475.50,765.50,540.00,527.00,397.50
74,679.00,537.50,482.50,489.00,398.14,625.33,611.83,726.50,440.63,598.50,565.50,510.50,611.00,418.50,627.00,218.50,629.50,631.50,904.50,548.50,499.50,792.00,559.50,550.50,416.00
75,697.50,563.00,491.00,509.50,429.14,646.33,639.83,760.50,470.13,623.00,584.50,533.00,634.50,440.50,642.50,224.00,650.00,662.50,943.00,576.00,515.50,822.00,577.00,574.00,433.50
76,725.00,587.50,507.00,529.00,449.64,669.33,672.83,786.00,500.63,647.00,607.00,547.50,660.00,460.00,665.00,240.00,678.50,696.50,976.00,599.00,534.00,852.00,601.00,598.00,445.50
77,757.00,608.50,531.06,552.00,472.14,687.83,703.83,815.50,525.13,669.00,628.50,563.00,683.50,483.50,682.00,261.00,704.50,727.50,996.50,627.00,557.50,885.50,618.50,621.50,469.50
78,782.50,623.50,555.56,573.50,495.64,705.83,735.83,839.50,544.13,687.00,649.50,582.50,708.50,509.50,702.00,282.50,735.00,762.00,1012.00,656.50,586.00,908.00,632.50,641.50,488.50
79,809.50,637.50,577.06,593.50,523.14,725.33,767.33,871.00,572.13,709.00,671.50,609.50,746.00,540.50,722.50,287.00,758.00,798.00,1031.00,681.00,618.00,934.00,657.50,665.50,506.50
80,836.50,652.50,602.56,616.50,551.64,749.33,791.83,897.00,599.63,735.50,695.00,639.50,783.50,575.00,745.50,289.00,776.00,834.00,1063.50,701.00,650.50,963.00,676.50,691.00,527.00
81,861.50,677.50,618.56,643.50,583.14,770.33,814.83,923.50,630.13,764.00,721.00,672.50,813.50,611.00,769.00,301.50,791.50,867.50,1090.50,726.50,681.50,994.00,700.50,716.50,553.50
82,899.00,698.50,643.56,665.00,618.14,787.83,847.33,947.50,657.13,793.00,746.00,707.00,846.00,646.50,798.00,322.00,810.50,904.00,1126.50,752.00,707.00,1030.50,728.50,740.00,585.50
83,924.00,719.50,665.06,686.50,653.64,815.28,881.83,975.00,683.63,827.50,769.50,735.50,879.50,680.50,830.50,344.00,822.00,942.50,1152.50,776.00,734.50,1063.50,758.50,764.00,609.50
84,949.00,740.50,684.06,707.00,689.14,837.28,918.33,1002.00,712.63,861.50,798.00,767.00,914.50,714.00,867.00,367.00,844.00,981.50,1179.00,798.50,755.00,1100.00,796.50,785.00,624.00
85,983.00,764.00,704.06,728.00,724.14,855.78,953.83,1029.50,742.63,891.50,838.50,799.00,948.50,751.50,903.00,395.50,871.00,1022.00,1197.00,822.50,780.00,1130.00,830.00,809.00,644.50
86,1018.00,782.50,726.56,748.50,762.64,879.78,978.83,1058.00,776.13,929.50,866.00,830.00,985.00,782.00,929.00,425.50,895.00,1052.00,1221.00,845.00,807.00,1166.00,857.00,833.00,669.50
87,1051.00,801.50,746.56,772.50,801.14,909.28,1002.83,1088.00,812.13,968.50,898.00,863.00,1018.00,814.00,958.50,456.50,922.50,1090.00,1242.00,862.50,832.00,1206.00,891.50,862.00,699.00
88,1090.00,825.50,764.06,791.50,826.14,937.78,1034.33,1118.00,826.63,1000.00,922.00,900.50,1051.50,848.00,982.50,489.00,955.00,1125.50,1264.00,883.50,859.50,1244.00,918.00,882.50,722.00
89,1133.00,847.00,787.56,815.00,855.00,971.28,1066.83,1148.00,846.13,1021.00,943.00,928.50,1088.00,886.00,1010.00,522.00,981.50,1155.50,1295.50,917.00,885.00,1267.50,955.00,899.00,750.50
90,1174.00,869.50,811.06,841.50,885.00,1005.78,1099.33,1185.50,875.13,1047.50,962.50,954.50,1128.50,923.00,1033.50,554.00,1016.50,1193.00,1320.00,950.00,907.00,1300.50,986.50,919.50,780.00
91,1212.00,900.00,842.56,875.00,916.00,1035.78,1132.83,1221.00,907.13,1074.00,988.00,977.50,1163.00,960.50,1067.50,589.00,1053.50,1223.50,1345.00,970.50,935.00,1341.00,1024.00,948.00,812.50
92,1251.00,921.50,865.06,905.00,946.50,1069.28,1163.83,1251.50,936.38,1102.00,1015.50,1006.00,1195.00,997.50,1091.00,627.50,1078.50,1249.00,1374.00,994.50,959.50,1372.50,1057.00,984.00,846.00
93,1288.50,947.00,894.06,931.00,975.00,1099.28,1196.33,1276.50,968.88,1136.50,1047.50,1036.00,1229.50,1029.50,1113.50,666.00,1101.00,1269.00,1407.50,1022.50,986.50,1399.00,1083.00,1015.00,880.50
94,1318.50,973.00,925.56,960.50,1006.71,1131.28,1224.83,1303.00,999.38,1175.50,1080.50,1076.00,1265.00,1054.50,1145.50,708.50,1127.50,1299.00,1443.00,1057.00,1015.50,1429.00,1114.00,1046.00,914.00
95,1348.00,997.00,955.06,991.00,1032.71,1164.78,1258.33,1329.00,1017.88,1213.50,1112.00,1117.50,1301.50,1085.00,1177.00,743.50,1150.50,1325.50,1467.00,1092.50,1046.50,1453.50,1142.00,1071.50,953.00
96,1378.60,1022.00,988.06,1023.00,1060.21,1200.28,1293.83,1357.00,1026.88,1262.00,1138.00,1161.00,1333.00,1117.50,1213.50,765.50,1180.00,1360.50,1493.00,1128.50,1076.50,1475.50,1167.00,1096.50,989.00
97,1421.10,1048.50,1022.56,1059.50,1085.71,1239.78,1334.83,1383.00,1045.38,1305.50,1165.50,1208.00,1365.00,1146.50,1251.00,791.50,1210.00,1386.00,1527.00,1155.50,1110.50,1501.50,1192.00,1123.50,1022.50
98,1466.10,1081.50,1061.06,1097.00,1113.21,1272.57,1372.33,1414.00,1076.38,1341.50,1195.00,1248.50,1395.50,1176.50,1283.00,821.00,1238.50,1413.50,1552.00,1190.00,1141.00,1535.00,1219.50,1151.00,1061.50
99,1505.60,1119.00,1102.06,1128.00,1147.71,1308.57,1411.83,1445.00,1105.38,1362.50,1225.50,1275.00,1426.00,1207.50,1321.00,848.00,1272.50,1438.00,1577.00,1233.00,1170.00,1569.00,1253.00,1180.00,1088.50
100,1531.60,1166.00,1145.06,1158.00,1180.21,1346.07,1447.83,1482.50,1140.38,1389.50,1256.00,1310.00,1454.50,1237.00,1359.00,883.00,1302.50,1462.00,1609.50,1284.00,1196.00,1599.50,1288.00,1211.00,1113.00
101,1561.10,1209.00,1182.06,1192.00,1213.71,1380.57,1480.83,1519.50,1180.38,1426.00,1288.00,1347.50,1484.50,1265.00,1393.50,920.50,1329.50,1490.50,1644.00,1334.50,1225.50,1628.50,1317.00,1242.50,1144.00
102,1589.60,1248.50,1214.56,1228.00,1243.71,1422.07,1514.83,1553.17,1217.88,1456.50,1323.00,1384.00,1513.50,1290.00,1436.00,947.50,1362.50,1520.00,1679.00,1377.00,1252.50,1663.50,1349.00,1276.50,1175.00
103,1624.60,1293.00,1249.56,1264.50,1272.21,1455.57,1548.33,1595.17,1250.67,1490.50,1356.50,1420.50,1545.50,1317.50,1468.50,970.50,1389.00,1550.50,1714.00,1405.50,1273.00,1696.50,1379.00,1307.50,1200.50
104,1652.10,1337.00,1285.56,1295.50,1305.71,1484.57,1581.83,1634.67,1291.17,1521.00,1392.00,1455.50,1572.00,1344.50,1499.00,996.50,1414.50,1576.00,1742.00,1429.00,1294.50,1730.00,1411.00,1341.00,1226.50
105,1686.60,1382.50,1321.56,1321.50,1337.71,1516.07,1614.58,1674.67,1334.17,1554.50,1425.00,1489.00,1599.50,1376.00,1527.50,1027.50,1448.50,1603.00,1774.50,1448.50,1319.50,1764.50,1447.00,1370.50,1255.50
106,1719.10,1422.50,1348.56,1354.50,1370.71,1549.07,1652.58,1713.17,1381.67,1583.50,1458.50,1521.50,1630.00,1405.00,1558.00,1065.50,1474.00,1637.00,1799.50,1472.50,1352.00,1799.50,1483.00,1405.50,1290.00
107,1752.10,1465.00,1371.56,1383.50,1400.71,1583.59,1692.08,1754.67,1426.17,1615.50,1494.00,1549.50,1663.00,1431.00,1585.50,1107.50,1507.50,1675.50,1833.00,1503.50,1385.00,1837.50,1523.50,1444.00,1322.50
108,1780.60,1510.00,1403.06,1416.50,1435.21,1614.09,1734.08,1793.67,1463.17,1649.50,1530.50,1579.50,1689.50,1458.00,1616.50,1152.50,1543.00,1710.00,1869.00,1535.50,1416.00,1871.00,1560.50,1486.00,1358.00
109,1814.10,1549.50,1435.56,1454.50,1465.71,1648.09,1775.08,1834.17,1505.17,1684.50,1567.00,1609.50,1725.50,1482.50,1648.50,1189.00,1571.50,1744.50,1911.00,1564.00,1451.00,1909.00,1601.50,1521.00,1396.00
110,1844.60,1587.00,1468.06,1497.50,1494.71,1682.78,1819.58,1868.67,1544.67,1721.50,1602.00,1642.50,1754.50,1513.50,1681.50,1226.00,1592.00,1775.50,1948.50,1597.00,1489.50,1940.50,1641.00,1564.00,1432.50
111,1877.10,1633.00,1495.56,1539.00,1524.21,1718.78,1863.08,1902.67,1579.17,1760.00,1639.50,1676.00,1788.00,1547.00,1717.50,1266.00,1614.00,1814.50,1987.00,1638.00,1522.00,1975.00,1675.00,1595.00,1468.50
112,1915.10,1671.00,1529.56,1581.00,1561.97,1750.78,1910.58,1934.17,1613.17,1801.00,1680.00,1710.50,1825.00,1580.00,1756.00,1308.50,1650.00,1853.00,2017.00,1676.50,1562.00,2014.50,1713.50,1632.50,1504.50
113,1949.60,1704.50,1557.56,1622.00,1593.97,1782.28,1956.58,1964.17,1646.67,1838.50,1726.00,1739.50,1857.00,1617.00,1792.00,1342.50,1676.50,1890.50,2048.50,1710.50,1609.50,2055.50,1744.00,1663.00,1537.00
114,1984.10,1738.00,1591.06,1659.00,1621.97,1818.78,2004.08,1994.17,1672.17,1876.50,1766.00,1772.50,1891.50,1655.00,1836.50,1380.00,1705.50,1928.00,2077.50,1751.00,1645.00,2096.50,1771.50,1699.50,1571.00
115,2013.10,1771.00,1627.06,1692.00,1654.47,1854.28,2050.58,2021.67,1697.67,1913.00,1807.50,1806.00,1919.50,1685.00,1877.00,1418.00,1742.00,1969.50,2108.50,1791.00,1676.00,2138.00,1796.50,1743.50,1608.50
116,2044.60,1811.00,1668.56,1722.00,1690.47,1885.78,2097.08,2056.84,1724.67,1951.00,1838.00,1834.50,1955.00,1722.00,1918.00,1459.00,1779.50,2011.50,2145.50,1820.50,1712.50,2170.50,1823.00,1783.00,1646.00
117,2081.10,1850.00,1708.56,1754.00,1720.47,1920.28,2145.58,2087.34,1756.17,1983.50,1875.00,1863.50,1993.00,1764.00,1955.50,1503.00,1808.50,2049.50,2181.50,1851.50,1741.50,2206.00,1848.00,1822.50,1686.00
118,2115.60,1891.50,1752.06,1789.00,1755.47,1946.78,2190.58,2123.34,1790.67,2015.00,1913.50,1894.00,2032.00,1801.50,1988.00,1548.50,1834.50,2087.00,2219.00,1886.50,1774.50,2237.50,1875.50,1854.00,1728.00
119,2156.60,1927.00,1792.06,1826.00,1789.97,1975.28,2235.58,2161.84,1824.67,2050.50,1948.00,1921.50,2070.00,1840.00,2018.00,1601.00,1866.00,2114.00,2258.00,1921.24,1802.50,2280.00,1906.50,1893.00,1772.50
120,2194.60,1961.50,1824.06,1862.00,1824.47,2006.28,2280.58,2194.34,1858.17,2092.50,1979.00,1954.63,2101.50,1874.50,2054.50,1646.50,1898.50,2146.00,2296.00,1954.37,1832.00,2320.50,1940.50,1935.00,1814.00
121,2227.02,1993.00,1859.56,1898.50,1859.47,2042.28,2320.08,2232.84,1892.17,2136.00,2011.50,1982.63,2137.50,1906.00,2089.50,1683.00,1939.00,2183.00,2334.00,1986.79,1867.50,2370.50,1974.50,1964.00,1852.00
